Path,Filename,StartSecond,EndSecond,MainClassification,ConfidenceScore,ConfidenceVector
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-30_17-32-18_48kHz.wav,channelA_2024-05-30_17-32-18_48kHz.wav,267,270,Whistle,0.56742555,"[0.43257445096969604, 0.567425549030304]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-30_23-06-54_48kHz.wav,channelA_2024-05-30_23-06-54_48kHz.wav,246,249,Whistle,0.72381485,"[0.27618518471717834, 0.723814845085144]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-30_23-06-54_48kHz.wav,channelA_2024-05-30_23-06-54_48kHz.wav,258,261,Whistle,0.65314645,"[0.3468535244464874, 0.6531464457511902]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-31_07-22-35_48kHz.wav,channelA_2024-05-31_07-22-35_48kHz.wav,255,258,Whistle,0.6264696,"[0.37353038787841797, 0.626469612121582]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-31_17-19-23_48kHz.wav,channelA_2024-05-31_17-19-23_48kHz.wav,213,216,Whistle,0.52163553,"[0.478364497423172, 0.5216355323791504]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-31_18-03-05_48kHz.wav,channelA_2024-05-31_18-03-05_48kHz.wav,258,261,Whistle,0.5067231,"[0.4932768940925598, 0.5067231059074402]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-06-01_01-51-54_48kHz.wav,channelA_2024-06-01_01-51-54_48kHz.wav,21,24,Whistle,0.5423503,"[0.45764976739883423, 0.5423502922058105]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-06-02_13-06-19_48kHz.wav,channelA_2024-06-02_13-06-19_48kHz.wav,234,237,Whistle,0.58035415,"[0.41964590549468994, 0.5803541541099548]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-06-02_22-44-24_48kHz.wav,channelA_2024-06-02_22-44-24_48kHz.wav,186,189,Whistle,0.9748999,"[0.025100111961364746, 0.9748998880386353]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-06-02_22-44-24_48kHz.wav,channelA_2024-06-02_22-44-24_48kHz.wav,189,192,Whistle,0.99810624,"[0.0018936960259452462, 0.9981062412261963]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-06-03_17-25-34_48kHz.wav,channelA_2024-06-03_17-25-34_48kHz.wav,147,150,Whistle,0.6183032,"[0.3816968500614166, 0.6183031797409058]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-06-04_11-31-12_48kHz.wav,channelA_2024-06-04_11-31-12_48kHz.wav,168,171,Whistle,0.63849354,"[0.36150646209716797, 0.638493537902832]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-06-04_11-31-12_48kHz.wav,channelA_2024-06-04_11-31-12_48kHz.wav,183,186,Whistle,0.70421237,"[0.29578760266304016, 0.7042123675346375]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-06-04_14-42-51_48kHz.wav,channelA_2024-06-04_14-42-51_48kHz.wav,213,216,Whistle,0.5480938,"[0.4519062638282776, 0.5480937957763672]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-06-05_03-00-44_48kHz.wav,channelA_2024-06-05_03-00-44_48kHz.wav,282,285,Whistle,0.9744767,"[0.02552330121397972, 0.97447669506073]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-06-05_05-48-40_48kHz.wav,channelA_2024-06-05_05-48-40_48kHz.wav,3,6,Whistle,0.53791,"[0.46209007501602173, 0.537909984588623]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-06-05_07-06-03_48kHz.wav,channelA_2024-06-05_07-06-03_48kHz.wav,294,297,Whistle,0.5937334,"[0.40626659989356995, 0.5937333703041077]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-06-05_10-05-51_48kHz.wav,channelA_2024-06-05_10-05-51_48kHz.wav,15,18,Whistle,0.64617044,"[0.3538295030593872, 0.646170437335968]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-06-05_18-57-06_48kHz.wav,channelA_2024-06-05_18-57-06_48kHz.wav,228,231,Whistle,0.55795026,"[0.4420497417449951, 0.5579502582550049]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-06-05_20-02-39_48kHz.wav,channelA_2024-06-05_20-02-39_48kHz.wav,6,9,Whistle,0.63681805,"[0.3631819784641266, 0.6368180513381958]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-06-06_18-03-37_48kHz.wav,channelA_2024-06-06_18-03-37_48kHz.wav,21,24,Whistle,0.6122431,"[0.387756884098053, 0.612243115901947]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-06-06_18-03-37_48kHz.wav,channelA_2024-06-06_18-03-37_48kHz.wav,24,27,Whistle,0.6184792,"[0.3815207779407501, 0.6184791922569275]"
